,person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,loan_to_income_ratio
1,21,9600,OWN,5.0,EDUCATION,B,1000,11.14,0,0.1,N,2,0.10416666666666667
2,25,9600,MORTGAGE,1.0,MEDICAL,C,5500,12.87,1,0.57,N,3,0.5729166666666666
3,23,65500,RENT,4.0,MEDICAL,C,35000,15.23,1,0.53,N,2,0.5343511450381679
4,24,54400,RENT,8.0,MEDICAL,C,35000,14.27,1,0.55,Y,4,0.6433823529411765
5,21,9900,OWN,2.0,VENTURE,A,2500,7.14,1,0.25,N,2,0.25252525252525254
6,26,77100,RENT,8.0,EDUCATION,B,35000,12.42,1,0.45,N,3,0.45395590142671854
7,24,78956,RENT,5.0,MEDICAL,B,35000,11.11,1,0.44,N,4,0.44328486752115104
8,24,83000,RENT,8.0,PERSONAL,A,35000,8.9,1,0.42,N,2,0.42168674698795183
9,21,10000,OWN,6.0,VENTURE,D,1600,14.74,1,0.16,N,3,0.16
10,22,85000,RENT,6.0,VENTURE,B,35000,10.37,1,0.41,N,4,0.4117647058823529
11,21,10000,OWN,2.0,HOMEIMPROVEMENT,A,4500,8.63,1,0.45,N,2,0.45
12,23,95000,RENT,2.0,VENTURE,A,35000,7.9,1,0.37,N,2,0.3684210526315789
13,26,108160,RENT,4.0,EDUCATION,E,35000,18.39,1,0.32,N,4,0.323594674556213
14,23,115000,RENT,2.0,EDUCATION,A,35000,7.9,0,0.3,N,4,0.30434782608695654
15,23,500000,MORTGAGE,7.0,DEBTCONSOLIDATION,B,30000,10.65,0,0.06,N,3,0.06
16,23,120000,RENT,0.0,EDUCATION,A,35000,7.9,0,0.29,N,4,0.2916666666666667
17,23,92111,RENT,7.0,MEDICAL,F,35000,20.25,1,0.32,N,4,0.3799763329026935
18,23,113000,RENT,8.0,DEBTCONSOLIDATION,D,35000,18.25,1,0.31,N,4,0.30973451327433627
19,24,10800,MORTGAGE,8.0,EDUCATION,B,1750,10.99,1,0.16,N,2,0.16203703703703703
20,25,162500,RENT,2.0,VENTURE,A,35000,7.49,0,0.22,N,4,0.2153846153846154
21,25,137000,RENT,9.0,PERSONAL,E,34800,16.77,0,0.25,Y,2,0.25401459854014596
22,22,65000,RENT,4.0,EDUCATION,D,34000,17.58,1,0.52,N,4,0.5230769230769231
23,24,10980,OWN,0.0,PERSONAL,A,1500,7.29,0,0.14,N,3,0.1366120218579235
24,22,80000,RENT,3.0,PERSONAL,D,33950,14.54,1,0.42,Y,4,0.424375
25,24,67746,RENT,8.0,HOMEIMPROVEMENT,C,33000,12.68,1,0.49,N,3,0.4871136303250376
26,21,11000,MORTGAGE,3.0,VENTURE,E,4575,17.74,1,0.42,Y,3,0.4159090909090909
27,23,11000,OWN,0.0,PERSONAL,A,1400,9.32,0,0.13,N,3,0.12727272727272726
28,24,65000,RENT,6.0,HOMEIMPROVEMENT,B,32500,9.99,1,0.5,N,3,0.5
29,21,11389,OTHER,5.0,EDUCATION,C,4000,12.84,1,0.35,Y,2,0.3512160856967249
30,21,11520,OWN,5.0,MEDICAL,B,2000,11.12,1,0.17,N,3,0.1736111111111111
